time,close,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment
1980-11-25,205.41,-1.25,,,,1.73,75
1980-11-26,207.06,-1.35,,,,1.73,75
1980-11-28,208.15,-1.41,,,,1.73,75
1980-12-01,204.91,-1.33,,,,1.7,76.7
1980-12-02,203.71,-1.3,,,,1.7,76.7
1980-12-03,204.9,-1.12,,,,1.7,76.7
1980-12-04,206.19,-1.24,,,,1.7,76.7
1980-12-05,203.02,-1.49,,,,1.7,76.7
1980-12-08,195.87,-1.54,,,,1.7,76.7
1980-12-09,195.07,-1.44,,,,1.7,76.7
1980-12-10,193.58,-1.44,,,,1.7,76.7
1980-12-11,188.75,-1.4,,,,1.7,76.7
1980-12-12,191.22,-1.53,,,,1.7,76.7
1980-12-15,194.02,-1.58,,,,1.7,76.7
1980-12-16,191.88,-1.61,,,,1.7,76.7
1980-12-17,194.02,-1.7,,,,1.7,76.7
1980-12-18,196.01,-1.67,,,,1.7,76.7
1980-12-19,197.91,-1.41,,,,1.7,76.7
1980-12-22,199.79,-1.1,,,,1.7,76.7
1980-12-23,199.86,-0.69,,,,1.7,76.7
1980-12-24,200.14,-0.95,,,,1.7,76.7
1980-12-26,201.28,-0.7,,,,1.7,76.7
1980-12-29,199.84,-0.67,,,,1.7,76.7
1980-12-30,200.46,-0.58,,,,1.7,76.7
1980-12-31,202.34,-0.63,,,,1.57,64.5
1981-01-02,203.55,-0.68,,,,1.57,64.5
1981-01-05,204.17,-0.13,,,,1.57,64.5
1981-01-06,204.07,-0.31,,,,1.57,64.5
1981-01-07,197.35,-0.54,,,,1.57,64.5
1981-01-08,195.89,-0.74,,,,1.57,64.5
1981-01-09,197.66,-0.96,,,,1.57,64.5
1981-01-12,198.44,-0.72,,,,1.57,64.5
1981-01-13,198.05,-0.77,,,,1.57,64.5
1981-01-14,199.08,-0.42,,,,1.57,64.5
1981-01-15,199.85,-0.63,,,,1.57,64.5
1981-01-16,201.13,-0.55,,,,1.57,64.5
1981-01-19,201.58,-0.98,,,,1.57,64.5
1981-01-20,198.72,-0.98,,,,1.57,64.5
1981-01-21,198.09,-1.02,,,,1.57,64.5
1981-01-22,197.12,-0.96,,,,1.57,64.5
1981-01-23,197.52,-0.9,,,,1.57,64.5
1981-01-26,196.13,-0.7,,,,1.57,64.5
1981-01-27,197.18,-0.67,,,,1.57,64.5
1981-01-28,197.37,-0.71,,,,1.57,64.5
1981-01-29,197.88,-0.62,,,,1.57,64.5
1981-01-30,197.81,-0.58,,,,1.57,64.5
1981-02-02,193.09,-0.65,,,,1.4,71.4
1981-02-03,193.56,-0.72,,,,1.4,71.4
1981-02-04,194.57,-0.77,,,,1.4,71.4
1981-02-05,196.29,-0.68,,,,1.4,71.4
1981-02-06,197.87,-0.8,,,,1.4,71.4
1981-02-09,196.93,-0.76,,,,1.4,71.4
1981-02-10,196.7,-0.83,,,,1.4,71.4
1981-02-11,195.81,-0.92,,,,1.4,71.4
1981-02-12,194.61,-0.92,,,,1.4,71.4
1981-02-13,193.89,-0.8,,,,1.4,71.4
1981-02-17,193.98,-0.64,,,,1.4,71.4
1981-02-18,194.73,-0.68,,,,1.4,71.4
1981-02-19,192.74,-0.63,,,,1.4,71.4
1981-02-20,192.29,-0.65,,,,1.4,71.4
1981-02-23,193.06,-0.73,,,,1.4,71.4
1981-02-24,193.94,-0.79,,,,1.4,71.4
1981-02-25,193.99,-0.71,,,,1.4,71.4
1981-02-26,196.13,-0.63,,,,1.4,71.4
1981-02-27,198.01,-0.65,,,,1.4,71.4
1981-03-02,199.06,-0.78,,,,1.23,66.9
1981-03-03,198.35,-0.7,,,,1.23,66.9
1981-03-04,198.75,-0.76,,,,1.23,66.9
1981-03-05,199.05,-0.74,,,,1.23,66.9
1981-03-06,199.89,-0.71,,,,1.23,66.9
1981-03-09,200.14,-0.75,,,,1.23,66.9
1981-03-10,199.03,-0.66,,,,1.23,66.9
1981-03-11,198.16,-0.67,,,,1.23,66.9
1981-03-12,200.67,-0.67,,,,1.23,66.9
1981-03-13,202.17,-0.59,,,,1.23,66.9
1981-03-16,203.44,-0.45,,,,1.23,66.9
1981-03-17,203.19,-0.52,,,,1.23,66.9
1981-03-18,204,-0.17,,,,1.23,66.9
1981-03-19,204.45,-0.17,,,,1.23,66.9
1981-03-20,206.29,-0.11,,,,1.23,66.9
1981-03-23,207.62,-0.23,,,,1.23,66.9
1981-03-24,207.7,-0.25,,,,1.23,66.9
1981-03-25,209.31,-0.3,,,,1.23,66.9
