time,close,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment
1991-02-25,456.7,0.94,,-5.806253336867493,,0.97,70.4
1991-03-04,475.1,1.05,,-5.822795388069518,,0.97,70.4
1991-03-11,466.3,1.09,,-5.8334939444911535,,0.97,70.4
1991-03-18,464.2,1,,-5.831865971229921,,0.97,70.4
1991-03-25,482.3,1.03,,-5.824282051529711,,0.97,70.4
1991-04-01,495.8,1.07,,-5.811262513754141,,1.2,87.7
1991-04-08,501.6,1.14,,-5.810154438149784,,1.2,87.7
1991-04-15,501.2,1.03,,-5.780314638414049,,1.2,87.7
1991-04-22,494.6,1.14,,-5.803532877423261,,1.2,87.7
1991-04-29,492.1,1.21,,-5.853232545975533,,1.3,81.8
1991-05-06,493.4,1.18,,-5.859120015376089,,1.3,81.8
1991-05-13,481.4,1.28,,-5.89513343816955,,1.3,81.8
1991-05-20,492.7,1.36,,-5.886216145358003,,1.3,81.8
1991-05-27,506.1,1.42,,-5.931356054335263,,1.3,81.8
1991-06-03,498.5,1.37,,-5.916158761785796,,1.43,78.3
1991-06-10,495.1,1.26,,-5.923517832892541,,1.43,78.3
1991-06-17,485.8,1.43,,-5.899394899013504,,1.43,78.3
1991-06-24,475.9,1.32,,-5.912004129514534,,1.43,78.3
1991-07-01,474.1,1.29,,-5.902436904901381,,1.5,82.1
1991-07-08,492.7,1.38,,-5.927534977577578,,1.5,82.1
1991-07-15,497.6,1.4,,-5.918743003582718,,1.5,82.1
1991-07-22,492.7,1.33,,-5.892018292159106,,1.5,82.1
1991-07-29,505.7,1.36,,-5.885000583062331,,1.53,82.9
1991-08-05,508.3,1.46,,-5.86966470853389,,1.53,82.9
1991-08-12,512.5,1.51,,-5.899285436302861,,1.53,82.9
1991-08-19,521.1,1.51,,-5.871267621132699,,1.53,82.9
1991-08-26,525.7,1.49,,-5.835170677152055,,1.53,82.9
1991-09-02,516.9,1.52,,-5.814059792957567,,1.4,82
1991-09-09,516.7,1.47,,-5.81019657979897,,1.4,82
1991-09-16,527.2,1.41,,-5.811322776041837,,1.4,82
1991-09-23,524.5,1.51,,-5.800853568318372,,1.4,82
1991-09-30,520.4,1.49,,-5.841073047063238,,1.17,83
1991-10-07,519.1,1.6,,-5.838733985862586,,1.17,83
1991-10-14,538.9,1.62,,-5.849938305107252,,1.17,83
1991-10-21,525.1,1.72,,-5.842882931973339,,1.17,83
1991-10-28,540.9,1.83,,-5.813073371566846,,1.1,78.3
1991-11-04,548.1,1.78,,-5.820088560998844,,1.1,78.3
1991-11-11,531.3,1.79,,-5.825757148838394,,1.1,78.3
1991-11-18,526.5,1.95,,-5.8818921347327064,,1.1,78.3
1991-11-25,523.9,2,,-5.906521237213384,,1.1,78.3
1991-12-02,536.3,2.07,,-5.933738638741072,,1,69.1
1991-12-09,540.9,2.13,,-5.915539398188116,,1,69.1
1991-12-16,535.8,2.17,,-5.917911822053478,,1,69.1
1991-12-23,565.7,1.97,,-5.88014996117268,,1,69.1
1991-12-30,592.7,2.05,,-5.902511008024245,,1,68.2
1992-01-06,615.7,2,,-5.928222747549768,,1,68.2
1992-01-13,626.9,2.07,,-5.898079542768314,,1,68.2
1992-01-20,624.7,2.12,,-5.882333309139001,,1,68.2
1992-01-27,620.2,2.2,,-5.897142722533063,,0.93,67.5
1992-02-03,635,2.23,,-5.891955620757307,,0.93,67.5
1992-02-10,636.4,2.14,,-5.848682913331726,,0.93,67.5
1992-02-17,629.8,1.99,,-5.854110682213989,,0.93,67.5
1992-02-24,633.5,2,,-5.838080692058487,,0.93,67.5
1992-03-02,616,1.88,,-5.847355552577778,,0.9,68.8
1992-03-09,618.6,1.85,,-5.839249019711694,,0.9,68.8
1992-03-16,624.3,1.78,,-5.816555922703153,,0.9,68.8
1992-03-23,604.7,1.86,,-5.824343086837006,,0.9,68.8
1992-03-30,590,2.05,,-5.806811307532186,,0.77,76
1992-04-06,584.2,2.26,,-5.837272158035864,,0.77,76
1992-04-13,591.8,2.11,,-5.834488589726179,,0.77,76
1992-04-20,572.9,2.18,,-5.820066634188849,,0.77,76
1992-04-27,578.1,2.15,,-5.828886674460858,,0.67,77.2
1992-05-04,585.8,2.15,,-5.805581098747667,,0.67,77.2
1992-05-11,574.4,2.21,,-5.821307507620554,,0.67,77.2
1992-05-18,580.3,2.05,,-5.809932022803922,,0.67,77.2
1992-05-25,585.3,2.14,,-5.813288687693734,,0.67,77.2
1992-06-01,585.4,2.12,,-5.789860381335746,,0.63,79.2
1992-06-08,569.5,2.24,,-5.809239697436582,,0.63,79.2
1992-06-15,554.2,2.25,,-5.789573271453431,,0.63,79.2
1992-06-22,547.8,2.25,,-5.769426579101522,,0.63,79.2
1992-06-29,563.4,2.38,,-5.737723708084234,,0.73,80.4
1992-07-06,567.8,2.51,,-5.728879896964668,,0.73,80.4
1992-07-13,570.5,2.62,,-5.739033424127001,,0.73,80.4
1992-07-20,565.6,2.52,,-5.742346935874179,,0.73,80.4
1992-07-27,580.8,2.36,,-5.772202342501744,,0.73,80.4
1992-08-03,573.7,2.36,,-5.739742051647278,,0.87,76.6
1992-08-10,573.2,2.36,,-5.715394932080292,,0.87,76.6
1992-08-17,563.7,2.42,,-5.704076635564338,,0.87,76.6
1992-08-24,563.6,2.41,,-5.729819448439196,,0.87,76.6
1992-08-31,573.4,2.45,,-5.722277057292366,,0.9,76.1
1992-09-07,583,2.48,,-5.7697802109950596,,0.9,76.1
1992-09-14,589.1,2.54,,-5.782126908499546,,0.9,76.1
1992-09-21,577.2,2.57,,-5.796220110854771,,0.9,76.1
1992-09-28,571.6,2.56,,-5.842886738612389,,0.8,75.6
1992-10-05,570.5,2.58,,-5.846051826596707,,0.8,75.6
1992-10-12,582.6,2.51,,-5.838313367613807,,0.8,75.6
1992-10-19,597.3,2.5,,-5.850263628429588,,0.8,75.6
1992-10-26,605.2,2.4,,-5.815336786844158,,0.8,75.6
1992-11-02,616.8,2.49,,-5.854889012102231,,0.67,73.3
1992-11-09,637.2,2.28,,-5.869780035185167,,0.67,73.3
1992-11-16,642.6,2.18,,-5.862117261006033,,0.67,73.3
1992-11-23,649.5,2.16,,-5.819629977809275,,0.67,73.3
1992-11-30,661.6,2.14,,-5.837568547022327,,0.5,85.3
1992-12-07,655.8,2.02,,-5.83019639951186,,0.5,85.3
1992-12-14,661.3,2.1,,-5.81766802211867,,0.5,85.3
1992-12-21,665.9,2.09,,-5.785626443699377,,0.5,85.3
1992-12-28,677,2.14,,-5.7730756013623425,,0.37,91
1993-01-04,677.2,2.25,,-5.72432589220297,,0.37,91
1993-01-11,697.2,2.29,,-5.802032752131523,,0.37,91
1993-01-18,701.6,2.27,,-5.800859277928731,,0.37,91
1993-01-25,696.3,2.19,,-5.811767133927264,,0.37,91
1993-02-01,701,2.25,,-5.7967542535285945,,0.2,89.3
1993-02-08,690.5,2.15,,-5.814206292270574,,0.2,89.3
1993-02-15,663.6,2.16,,-5.814697157583923,,0.2,89.3
1993-02-22,670.8,2.11,,-5.837704619483676,,0.2,89.3
1993-03-01,681.4,1.99,,-5.84634798014823,,-0.03,86.6
1993-03-08,692.8,2,,-5.808128791444132,,-0.03,86.6
1993-03-15,682.7,2,,-5.828795162483165,,-0.03,86.6
1993-03-22,681.5,2.07,,-5.846941156869435,,-0.03,86.6
1993-03-29,669.9,2.17,,-5.88435271751742,,-0.1,85.9
1993-04-05,666.3,2.12,,-5.93831402299566,,-0.1,85.9
1993-04-12,666.8,2.09,,-6.005078252476692,,-0.1,85.9
1993-04-19,658.4,2.1,,-6.013283594502622,,-0.1,85.9
1993-04-26,661.4,2.2,,-6.046714500627307,,-0.1,85.9
1993-05-03,681.4,2.09,,-6.133102899090871,,-0.03,85.6
1993-05-10,676.4,2.11,,-6.136425973083053,,-0.03,85.6
1993-05-17,694.3,2.06,,-6.1300364066980535,,-0.03,85.6
1993-05-24,700.5,1.89,,-6.165980726261284,,-0.03,85.6
1993-05-31,702,1.88,,-6.141396923817541,,-0.03,80.3
1993-06-07,693.2,1.78,,-6.096673902611337,,-0.03,80.3
1993-06-14,689.6,1.85,,-6.093995363953081,,-0.03,80.3
1993-06-21,694.8,1.73,,-6.109512098041665,,-0.03,80.3
1993-06-28,704.5,1.81,,-6.088327522255367,,0,81.5
1993-07-05,705.8,1.78,,-6.100997234512467,,0,81.5
1993-07-12,699.7,1.73,,-6.131964863312056,,0,81.5
1993-07-19,700.2,1.68,,-6.121047700341655,,0,81.5
1993-07-26,704.7,1.69,,-6.143752953614555,,0,81.5
1993-08-02,718.1,1.74,,-6.094225420577937,,-0.07,77
1993-08-09,718.3,1.71,,-6.096646155886361,,-0.07,77
1993-08-16,731,1.71,,-6.093759745581375,,-0.07,77
1993-08-23,734.1,1.6,,-6.074647538192972,,-0.07,77
1993-08-30,749.7,1.58,,-6.048927460329265,,-0.07,77.3
1993-09-06,744.3,1.47,,-6.051096472253517,,-0.07,77.3
1993-09-13,740.1,1.49,,-6.106063880616441,,-0.07,77.3
1993-09-20,754.7,1.55,,-6.123963004914192,,-0.07,77.3
