time,close,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment
1979-02-01,122.56,-0.72,,,,-0.03,73.9
1979-03-01,131.76,-0.61,,,,-0.03,73.9
1979-04-02,133.82,-0.61,,,,-0.07,68.4
1979-05-01,131.42,-0.49,,,,0,66
1979-06-01,138.13,-0.15,,,,0.03,68.1
1979-07-02,141.33,-0.29,,,,0,65.8
1979-08-01,150.44,-0.56,,,,-0.03,60.4
1979-09-03,149.98,-0.67,,,,0.07,64.5
1979-10-01,135.53,-1.34,,,,0.23,62.1
1979-11-01,144.26,-0.95,,,,0.17,63.3
1979-12-03,151.14,-0.9,,,,0.13,61
1980-01-01,161.75,-0.62,,,,0.23,67
1980-02-01,158.03,-2.01,,,,0.3,66.9
1980-03-03,131,-1.99,,,,0.4,56.5
1980-04-01,139.99,-0.07,,,,0.4,56.5
1980-05-01,150.45,1.08,,,,0.67,52.7
1980-06-02,157.78,1.1,,,,1.27,51.7
1980-07-01,171.81,1.2,,,,1.77,58.7
1980-08-01,181.52,0.12,,,,2.03,62.3
1980-09-01,187.76,-0.31,,,,1.93,67.3
1980-10-01,192.78,-0.62,,,,1.73,75
1980-11-03,208.15,-1.41,,,,1.73,75
1980-12-01,202.34,-0.63,,,,1.57,64.5
1981-01-01,197.81,-0.58,,,,1.57,64.5
1981-02-02,198.01,-0.65,,,,1.4,71.4
1981-03-02,210.18,-0.04,,,,1.1,66.5
1981-04-01,216.74,-0.62,,,,1.1,66.5
1981-05-01,223.47,-1.23,,,,0.83,72.4
1981-06-01,215.75,-0.8,,,,0.47,76.3
1981-07-01,211.63,-1.17,,,,0.1,73.1
1981-08-03,195.75,-1.32,,,,0,74.1
1981-09-01,180.03,-0.83,,,,-0.13,77.2
1981-10-01,195.24,0.04,,,,0.07,73.1
1981-11-02,201.37,0.77,,,,0.8,62.5
1981-12-01,195.84,0.35,,,,1.07,64.3
1982-01-01,188.39,-0.1,,,,1.07,64.3
1982-02-01,179.43,-0.41,,,,1.23,71
1982-03-01,175.65,-0.34,,,,1.47,62
1982-04-01,184.7,-0.15,,,,1.47,62
1982-05-03,178.54,0.09,,,,1.77,65.5
1982-06-01,171.3,-0.22,,,,2,67.5
1982-07-01,167.35,0.41,,,,2.17,65.7
1982-08-02,177.71,0.8,,,,2.3,65.4
1982-09-01,187.65,0.42,,,,2.4,65.4
1982-10-01,212.63,0.88,,,,2.53,69.3
1982-11-01,232.31,0.83,,,,2.47,72.1
1982-12-01,232.41,0.88,,,,2.37,71.9
1983-01-03,248.35,1.22,,,,2.13,70.4
1983-02-01,260.67,0.96,,,,1.87,74.6
1983-03-01,270.8,0.75,,,,1.57,80.8
1983-04-01,293.06,0.89,,,,1.57,80.8
1983-05-02,308.73,0.72,,,,1.27,89.1
1983-06-01,318.7,0.72,,,,0.97,93.3
1983-07-01,303.96,0.8,,,,0.7,92.2
1983-08-01,292.42,0.82,,,,0.3,92.8
1983-09-01,296.65,0.86,,,,-0.07,90.9
1983-10-03,274.55,1.13,,,,-0.23,89.3
1983-11-01,285.67,0.96,,,,-0.37,91.1
1983-12-01,278.6,0.97,,,,-0.37,91.1
1984-01-02,268.43,1.09,,,,-0.27,100.1
1984-02-01,252.57,1.05,,,,-0.2,97.4
1984-03-01,250.78,0.93,,,,-0.2,97.4
1984-04-02,247.44,0.9,,,,-0.13,101
1984-05-01,232.82,0.95,,,,-0.07,96.1
1984-06-01,239.65,0.63,,,,-0.1,98.1
1984-07-02,229.7,0.39,,,,-0.23,95.5
1984-08-01,254.64,0.28,,,,-0.1,96.6
1984-09-03,249.94,0.36,,,,0,99.1
1984-10-01,247.03,0.7,,,,0.07,96.3
1984-11-01,242.53,1.08,,,,-0.03,95.7
1984-12-03,247.35,1.53,,,,-0.07,92.9
1985-01-01,278.7,1.27,,,,0.03,96
1985-02-01,284.2,1.25,,,,0.1,93.7
1985-03-01,279.2,1.22,,,,0.1,93.7
1985-04-01,280.6,1.5,,,,0.13,93.7
1985-05-01,290.8,1.36,,,,0.1,94.6
1985-06-03,296.2,1.58,,,,0.1,91.8
1985-07-01,301.3,1.62,,,,0.1,96.5
1985-08-01,297.7,1.31,,,,0.1,94
1985-09-02,280.3,1.5,,,,0,92.4
1985-10-01,292.5,1.31,,,,-0.07,88.4
1985-11-01,314,1.13,,,,-0.07,88.4
1985-12-02,324.9,1.02,,,,-0.07,93.9
1986-01-01,335.8,1.09,,,,-0.13,95.6
1986-02-03,359.5,0.42,,,,0.1,95.9
1986-03-03,374.7,0.47,,,,0.2,95.1
1986-04-01,383.2,0.53,,,,0.2,95.1
1986-05-01,400.2,0.64,,,,0.33,96.2
1986-06-02,405.5,0.54,,,,0.33,94.8
1986-07-01,371.4,0.74,,,,0.3,99.3
1986-08-01,382.9,0.97,,,,0.23,97.7
1986-09-01,350.7,1.08,,,,0.07,94.9
1986-10-01,360.8,1.08,,,,0.07,95.6
1986-11-03,359.6,0.94,,,,0.07,95.6
1986-12-01,348.8,0.88,,,,-0.07,89.1
1987-01-01,392.1,0.85,,,,-0.07,89.1
1987-02-02,425,0.84,,,,-0.07,90.4
