time,close,KD,J,RSI,COPPER · Capital.com: close,URANIUM · FXCM: close,US10Y · TVC: close,US02Y · TVC: close,ALUMINUM · Capital.com: close,REMX · NYSE Arca: close,XAUUSD · FXCM: close,BTCUSD · INDEX: close,USDKRW · FXCM: close
2024-06-04,16857.0472,66.01941858,58.50907223,52.96468443,4.54461,3950.91,4.33,4.772,2650.3,50.35,2326.76,70567.23,1376.172
2024-06-05,17187.9046,73.4033612,88.10804457,68.68902559,4.61383,3912.5,4.277,4.722,2625.1,50.49,2355.22,71111.18,1373.022
2024-06-06,17173.1207,77.87986663,96.4234719,67.3400237,4.66472,3992.24,4.289,4.726,2636.3,50.14,2375.71,70784.19,1365.882
2024-06-07,17133.1259,80.32214286,95.69963606,63.55532878,4.44875,3826.94,4.435,4.889,2567.3,48.75,2291.2,69340.38,1365.682
2024-06-10,17192.5289,83.82190252,100.2600483,66.36044232,4.5501,3851.51,4.471,4.883,2572.8,48.89,2310.86,69512.71,1376.172
2024-06-11,17343.5463,87.74514195,105.7723134,72.95398597,4.50484,3654.58,4.406,4.84,2533.1,47.9,2316.78,67325.53,1378.212
2024-06-12,17608.4356,88.83834417,100.5849355,82.2911105,4.52799,3781.48,4.316,4.756,2559.1,48.1,2324.89,68247.83,1376.162
2024-06-13,17667.5596,90.07363395,99.03515402,84.0970873,4.48069,3844.72,4.246,4.701,2535.8,46.52,2303.87,66751.09,1373.982
2024-06-14,17688.8821,91.29253305,98.82054085,84.76216694,4.4863,3768.46,4.223,4.707,2512.1,45.24,2332.01,66007.62,1379.282
2024-06-17,17857.0202,91.6050003,96.15017232,89.71841112,4.44712,3741.05,4.281,4.77,2497.8,45.05,2318.97,66503.35,1381.232
2024-06-18,17862.2321,91.70624561,94.23194488,89.86519781,4.46393,3829.51,4.223,4.718,2484.8,45.035,2329.34,65180.13,1381.272
2024-06-20,17721.5873,88.16760118,80.58383975,74.55676387,4.53301,3813.61,4.263,4.744,2495.3,44.16,2359.85,64881.55,1384.782
2024-06-21,17689.3607,84.376362,71.10638335,71.21982692,4.41806,3728.03,4.257,4.736,2486.9,43.42,2321.21,64136.8,1388.302
2024-06-24,17496.8169,75.75663362,47.57232333,52.95719869,4.42001,3657.41,4.234,4.73,2472.3,43.43,2334.35,60296,1389.262
2024-06-25,17717.6536,69.6026622,40.12557852,63.56848755,4.36892,3620.16,4.25,4.747,2468.7,42.61,2319.37,61812.68,1387.512
2024-06-26,17805.1559,69.09592672,53.09054617,67.2560616,4.3703,3686.2,4.331,4.749,2483.1,43.85,2298.22,60840.45,1388.852
2024-06-27,17858.6837,71.68765625,70.16428981,69.4695887,4.33433,3773.64,4.284,4.712,2468.4,43.13,2327.58,61669.87,1385.902
2024-06-28,17732.6027,65.52373758,49.35225768,58.01380491,4.37215,3632.36,4.4,4.756,2493.4,42.52,2325.19,60373.74,1376.572
2024-07-01,17879.2996,66.43004956,60.61008955,64.73128413,4.41663,3688.49,4.465,4.76,2488.4,42.97,2331.65,62867.66,1383.772
2024-07-02,18028.763,73.50461894,88.28106238,70.79342033,4.42684,3691.46,4.434,4.745,2486.3,42.8,2329.43,62078.03,1387.122
2024-07-03,18188.3015,79.72084681,102.6496382,76.50491569,4.52631,3761.26,4.355,4.708,2520.3,44.25,2356.03,60182.9,1385.872
2024-07-05,18352.7589,84.39165565,107.5330735,81.67959047,4.66276,3694.18,4.282,4.608,2510.6,44.02,2391.08,56670.13,1380.532
2024-07-08,18403.7381,88.03731381,108.7221681,83.19113712,4.60233,3635.41,4.282,4.631,2498.1,43.59,2358.98,56745.43,1382.992
2024-07-09,18429.291,89.00664938,101.7724154,83.96841928,4.58089,3637.55,4.3,4.631,2468.3,42.63,2363.97,58071.87,1383.622
2024-07-10,18647.4482,91.56079945,104.3290577,90.06538983,4.5874,3953.72,4.288,4.622,2447.6,43.28,2370.9,57774.17,1383.902
2024-07-11,18283.4067,85.2193322,75.74979318,59.29082373,4.52512,3984.41,4.214,4.519,2445,44.71,2415.28,57374.19,1372.502
