time,vol_phase,vol_amp,period_months,period_years,phase_fit_r2,months_until_fear,months_until_euphoria,fear_window_24m,fear_window_36m,euphoria_window_24m,euphoria_window_36m,confidence,nasdaq_close,nasdaq_sma,nasdaq_overext,nasdaq_mom_fast,nasdaq_mom_slow,vol_ann,vol_z,trend_break,overext_flag,mom_decel,macro_risk,fear_level,euphoria_level,fear_trigger,euphoria_trigger
1992-11-18,,,,,,,,0,0,0,0,0.0,634.9,588.5509999999999,0.07875103431988051,0.06312793034159392,0.1456153013352579,0.1006089581894575,-0.8575485661574916,0,0,1,1,0,0,0,0
1992-11-19,,,,,,,,0,0,0,0,0.0,638.6,588.5555,0.08502936426556196,0.069502595880087,0.14280601288475325,0.10030422401743332,-0.8602104790393684,0,0,1,1,0,0,0,0
1992-11-20,,,,,,,,0,0,0,0,0.0,642.6,588.5935,0.09175517568576619,0.07584128578603733,0.14077756080241444,0.1001296894745761,-0.8592328164482451,0,0,1,1,0,0,0,0
1992-11-23,,,,,,,,0,0,0,0,0.0,638.8,588.617,0.08525577752596347,0.06662214059108362,0.1334279630943931,0.1054837291444631,-0.698071126318853,0,0,1,1,0,0,0,0
1992-11-24,,,,,,,,0,0,0,0,0.0,645.9,588.6795000000001,0.09720144832629618,0.08190954773869352,0.1470431539690995,0.1060993646403007,-0.6740524405154725,0,0,1,1,0,0,0,0
1992-11-25,,,,,,,,0,0,0,0,0.0,648.3,588.6964999999999,0.10124656762865092,0.07798470236115729,0.14621640735502117,0.10537303342934493,-0.6891601141909675,0,0,1,1,0,0,0,0
1992-11-27,,,,,,,,0,0,0,0,0.0,649.5,588.7485,0.10318752404464715,0.07213601848794982,0.13688079817959053,0.10475920349723776,-0.7010387752358749,0,0,1,1,0,0,0,0
1992-11-30,,,,,,,,0,0,0,0,0.0,652.7,588.83,0.10846933749978782,0.07848645076007932,0.13532788311010613,0.10354931532354796,-0.730884657059855,0,0,1,1,0,0,0,0
1992-12-01,,,,,,,,0,0,0,0,0.0,654.0,588.9680000000001,0.11041686475326329,0.07636603028308087,0.1405650505755145,0.10373608190587141,-0.719364632334645,0,0,1,1,0,0,0,0
1992-12-02,,,,,,,,0,0,0,0,0.0,652.9,589.1205,0.1082622315808055,0.0798875289447567,0.143032212885154,0.10089006706851372,-0.7987847134729167,0,0,1,0,0,0,0,0
1992-12-03,,,,,,,,0,0,0,0,0.0,656.4,589.2415,0.11397449093453194,0.08406275805119723,0.141763785006088,0.10062735494487228,-0.8008677603597623,0,0,1,0,0,0,0,0
1992-12-04,,,,,,,,0,0,0,0,0.0,661.6,589.4005000000001,0.12249650280242363,0.07734896596645502,0.1383344803854094,0.09483271198460609,-0.9705055861876685,0,0,1,0,0,0,0,0
1992-12-07,,,,,,,,0,0,0,0,0.0,666.5,589.6084999999999,0.130411111780105,0.0805771725032427,0.1432246998284734,0.09565936550381338,-0.9390071997445862,0,0,1,0,0,0,0,0
1992-12-08,,,,,,,,0,0,0,0,0.0,667.1,589.837,0.1309904261685857,0.07233563735733806,0.12268596432177703,0.09460140117162467,-0.9650813773502163,0,0,1,0,0,0,0,0
1992-12-09,,,,,,,,0,0,0,0,0.0,663.9,589.9945,0.12526472704406566,0.05750238929595408,0.12927368600102063,0.09641355162650296,-0.9027296195261489,0,0,1,0,0,0,0,0
1992-12-10,,,,,,,,0,0,0,0,0.0,658.9,590.1189999999999,0.11655445766023464,0.03780122853992762,0.12459464072367288,0.09753418240509228,-0.8619234989280551,0,0,1,0,0,0,0,0
1992-12-11,,,,,,,,0,0,0,0,0.0,655.8,590.2305,0.11109134482206517,0.03373266078184112,0.11568560734943856,0.0997973430185836,-0.7857150318301098,0,0,1,0,0,0,0,0
1992-12-14,,,,,,,,0,0,0,0,0.0,654.7,590.3264999999999,0.10904728146203868,0.02746390458254866,0.11135630622984216,0.09991994374082759,-0.7788380309852175,0,0,1,0,0,0,0,0
1992-12-15,,,,,,,,0,0,0,0,0.0,650.8,590.409,0.1022867198840125,0.026498422712933678,0.1056744818212707,0.10072331444880471,-0.7505590679497658,0,0,1,0,0,0,0,0
1992-12-16,,,,,,,,0,0,0,0,0.0,649.6,590.5055,0.10007442775723518,0.03587944506458296,0.1142367066895369,0.0913316784232679,-1.0447149673085372,0,0,1,0,0,0,0,0
