date,state,gross_exposure,cash_weight,w_NASDAQ,w_GOLD,w_BTC,w_USDKRW,w_COPPER,w_REMX,w_ALUMINUM,w_URANIUM,w_UST10Y,w_UST2Y,portfolio_ret,portfolio_curve,portfolio_dd
2003-07-01,NORMAL,2.000000,-1.000000,0.453315,0.468721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.538982,0.538982,0.012572,108.296891,-0.040106
2003-07-02,NORMAL,2.000000,-1.000000,0.443371,0.475662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.540484,0.540484,0.010340,109.416687,-0.030181
2003-07-03,NORMAL,2.000000,-1.000000,0.430020,0.511372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529304,0.529304,-0.003538,109.029608,-0.033612
2003-07-07,NORMAL,2.000000,-1.000000,0.390821,0.530846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.539167,0.539167,0.005420,109.620496,-0.028375
2003-07-08,NORMAL,2.000000,-1.000000,0.399525,0.523144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.538666,0.538666,-0.004154,109.165085,-0.032411
2003-07-09,NORMAL,2.000000,-1.000000,0.400450,0.533183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533183,0.533183,0.001043,109.278920,-0.031402
2003-07-10,NORMAL,2.000000,-1.000000,0.386715,0.537762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.537762,0.537762,-0.003785,108.865287,-0.035068
2003-07-11,NORMAL,2.000000,-1.000000,0.384571,0.538476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.538476,0.538476,0.005398,109.452901,-0.029860
2003-07-14,NORMAL,2.000000,-1.000000,0.395558,0.534814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.534814,0.534814,0.008087,110.338034,-0.022015
2003-07-15,NORMAL,2.000000,-1.000000,0.413293,0.528902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528902,0.528902,-0.011685,109.048707,-0.033443
2003-07-16,NORMAL,2.000000,-1.000000,0.560372,0.719814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.719814,-0.011936,107.747149,-0.044979
2003-07-17,NORMAL,2.000000,-1.000000,0.378578,0.540474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.540474,0.540474,-0.012841,106.363555,-0.057243
2003-07-18,NORMAL,2.000000,-1.000000,0.389203,0.536932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.536932,0.536932,0.006145,107.017204,-0.051449
2003-07-21,NORMAL,2.000000,-1.000000,0.379359,0.540214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.540214,0.540214,0.000442,107.064537,-0.051029
2003-07-22,NORMAL,2.000000,-1.000000,0.535265,0.732367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.732367,-0.010300,105.961738,-0.060804
2003-07-23,NORMAL,2.000000,-1.000000,0.536274,0.731863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.731863,0.024028,108.507794,-0.038237
2003-07-24,NORMAL,2.000000,-1.000000,0.529149,0.735426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.735426,-0.000995,108.399861,-0.039194
2003-07-25,NORMAL,2.000000,-1.000000,0.532328,0.733836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.733836,0.010660,109.555419,-0.028951
2003-07-28,NORMAL,2.000000,-1.000000,0.535600,0.732200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.732200,0.006557,110.273734,-0.022585
2003-07-29,NORMAL,2.000000,-1.000000,0.535224,0.732388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.732388,-0.008694,109.314961,-0.031083
2003-07-30,NORMAL,2.000000,-1.000000,0.534295,0.732852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.732852,-0.015878,107.579288,-0.046467
2003-07-31,NORMAL,2.000000,-1.000000,0.554502,0.722749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.722749,0.001431,107.733263,-0.045102
2003-08-01,NORMAL,2.000000,-1.000000,0.552000,0.724000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.724000,-0.024636,105.079118,-0.068627
