time,months_until_fear,months_until_euphoria,fear_window_24m,fear_window_36m,euphoria_window_24m,euphoria_window_36m,confidence_fear,confidence_euphoria,confidence,fear_period_months,euphoria_period_months,fear_phase,euphoria_phase,nasdaq_close,nasdaq_sma,nasdaq_overext,nasdaq_mom_fast,nasdaq_mom_slow,vol_ann,vol_z,runup_12m,trend_break,overext_flag,mom_decel,macro_risk,fear_level,euphoria_level,fear_trigger,euphoria_trigger
1991-02-27,,4.331418455309232,0,0,1,1,0.0,0.7834450599533779,0.39172252997668894,,22.1464140820038,,-1.2288718479151208,450.8,397.76599999999996,0.13332964607331954,0.13608870967741926,0.17733089579524686,0.15191601299737933,0.010248011114167031,0.05871301080319391,0,1,0,1,1,2,0,0
1991-02-28,,4.331418455309232,0,0,1,1,0.0,0.7834450599533779,0.39172252997668894,,22.1464140820038,,-1.2288718479151208,453.1,397.819,0.1389601803835412,0.1310534198701947,0.18674698795180733,0.15191968756373195,0.007919737988524012,0.060627340823970144,0,1,0,1,1,2,0,0
1991-03-01,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,456.7,397.88800000000003,0.14781043911854574,0.11799265605875142,0.20596778452600994,0.15207784044075065,0.008839667765911545,0.05962877030162406,0,1,0,1,1,2,0,0
1991-03-04,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,461.1,397.965,0.15864460442501227,0.11323032351521012,0.20960125918153216,0.15213005660769327,0.007591078859689098,0.07182705718270577,0,1,0,1,1,2,0,0
1991-03-05,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,473.1,398.089,0.18842771340077236,0.13263107493416326,0.23945506942625117,0.1583282166023369,0.13091694133786466,0.09437890353920886,0,1,0,1,1,2,0,0
1991-03-06,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,473.8,398.1935,0.18987376740202944,0.11534839924670437,0.23901673640167376,0.15827553280922585,0.12713766505832827,0.0954913294797688,0,1,0,1,1,2,0,0
1991-03-07,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,475.7,398.3025,0.19431838866188378,0.10064784821841744,0.25580781414994713,0.15553182005316188,0.06886966320540215,0.08980526918671239,0,1,0,1,1,2,0,0
1991-03-08,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,475.1,398.39349999999996,0.19253953691513548,0.0817395264116576,0.24894847528916952,0.15588783057328498,0.07368920278876495,0.08768315018315032,0,1,0,1,1,2,0,0
1991-03-11,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,467.2,398.43800000000005,0.17257892068527592,0.07402298850574707,0.22399790411317788,0.16079337754713952,0.17089903150788138,0.07008703618873091,0,1,0,1,1,2,0,0
1991-03-12,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,461.4,398.47649999999993,0.15791019043783017,0.05631868131868134,0.21581027667984176,0.16384101757771635,0.22999776698091004,0.06166589967786451,0,1,0,1,1,2,0,0
1991-03-13,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,468.2,398.53,0.1748174541439791,0.05426705696915102,0.2311333158033131,0.163221596983135,0.2143500606450928,0.07336084364970197,0,1,0,1,1,2,0,0
1991-03-14,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,467.8,398.575,0.17368123941541747,0.05360360360360361,0.24348750664540142,0.16340321023189833,0.21505747312539839,0.06779274138324576,0,1,0,1,1,2,0,0
1991-03-15,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,466.3,398.61150000000004,0.1698107054111584,0.04084821428571428,0.24545940170940184,0.16399113969552737,0.22406201667606757,0.05450022614201733,0,1,0,1,1,2,0,0
1991-03-18,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,466.3,398.6325,0.16974907966610853,0.04951609273013724,0.24645816626570438,0.16266031465763434,0.19387703188140104,0.052833596748701916,0,1,0,1,1,2,0,0
1991-03-19,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,462.8,398.6185,0.1610098377270499,0.03142411410742141,0.2434175174637292,0.16239604908615837,0.18518269298364617,0.05157918654851157,0,1,0,1,1,2,0,0
1991-03-20,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,466.1,398.626,0.16926643018769494,0.03508771929824572,0.2539682539682542,0.1616219373104294,0.1660820007018742,0.061006146141588946,0,1,0,1,1,2,0,0
1991-03-21,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,464.6,398.624,0.1655093521714699,0.041704035874439604,0.2749725576289792,0.16220524008298703,0.17484229779781246,0.06927502876869962,0,1,0,1,1,2,0,0
1991-03-22,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,464.2,398.62449999999995,0.1645044396418185,0.039874551971326166,0.2812586254485232,0.16244831354042766,0.1765548543218398,0.0615138348959523,0,1,0,1,1,2,0,0
1991-03-25,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,468.5,398.6625,0.17517950647477498,0.04342984409799544,0.33021010789324245,0.16284817211494815,0.18139611179068799,0.0676845943482225,0,1,0,1,1,2,0,0
1991-03-26,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,478.6,398.74150000000003,0.20027636952762617,0.06096209266238084,0.34892897406989865,0.16610803029900473,0.24477205301126936,0.08896473265073945,0,1,0,1,1,2,0,0
1991-03-27,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,482.4,398.8205,0.20956670983562775,0.07750725932544111,0.3782857142857141,0.16608137887110927,0.24060448284892927,0.104648500114495,0,1,0,1,1,2,0,0
1991-03-28,,3.7243501495728557,0,0,1,1,0.0,0.6936433482857896,0.3468216741428948,,22.325111965912495,,-1.048182072919418,482.3,398.8875,0.2091128451004356,0.06987577639751552,0.41354044548651836,0.1655948768238098,0.22699870985305126,0.10771704180064323,0,1,0,1,1,2,0,0
1991-04-01,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,480.9,398.95649999999995,0.20539457309255527,0.061355109247406725,0.3959361393323657,0.16602362884613428,0.2320582603155003,0.10424799081515501,0,1,0,1,1,2,0,0
1991-04-02,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,491.2,399.07450000000006,0.23084787426908981,0.07554193124589448,0.3848322526078376,0.1694897141807088,0.29942903673806137,0.133887349953832,0,1,0,1,1,2,0,0
1991-04-03,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,495.1,399.246,0.2400875650601384,0.07373671654738678,0.3891694725028061,0.1687060616398439,0.2793125305127385,0.13114005026273712,0,1,0,1,1,2,0,0
1991-04-04,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,497.6,399.4315,0.24577055139617188,0.05178609173536253,0.415647226173542,0.16503592800935668,0.19976800419281673,0.14285714285714302,0,1,0,1,1,2,0,0
1991-04-05,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,495.8,399.60650000000004,0.24072055884976828,0.04643309413254548,0.4169762789368392,0.16552291542578462,0.2061302106881972,0.14397784956160598,0,1,0,1,1,2,0,0
1991-04-08,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,495.7,399.7785,0.2399366149005011,0.04204330460374184,0.42688543465745554,0.15861054740712996,0.05965208280283677,0.150382919470875,0,1,0,1,1,2,0,0
